2018-01-05 03:37:16 | Price: p:4427/b:4427/a:4429/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -113/  26/   0 Avg: 4469/4413 |  lat:   98 ms| bidding (0) | balance:500000  
2018-01-05 03:37:20 | Price: p:4420/b:4417/a:4420/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/  19/ -25 Avg: 4468/4413 |  lat:   56 ms| bidding (0) | balance:500000  
2018-01-05 03:37:27 | Price: p:4420/b:4417/a:4420/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/  20/ -25 Avg: 4468/4414 |  lat:   62 ms| bidding (0) | balance:500000  
2018-01-05 03:37:29 | Price: p:4420/b:4417/a:4420/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/  20/ -20 Avg: 4468/4414 |  lat:   58 ms| bidding (0) | balance:500000  
2018-01-05 03:37:32 | Price: p:4420/b:4417/a:4420/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/  20/ -20 Avg: 4468/4415 |  lat:   54 ms| bidding (0) | balance:500000  
2018-01-05 03:37:34 | Price: p:4420/b:4417/a:4420/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/  18/ -20 Avg: 4468/4417 |  lat:   54 ms| bidding (0) | balance:500000  
2018-01-05 03:37:38 | Price: p:4417/b:4417/a:4420/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -123/  15/ -23 Avg: 4468/4417 |  lat:   54 ms| bidding (0) | balance:500000  
2018-01-05 03:37:43 | Price: p:4420/b:4417/a:4418/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/  18/ -10 Avg: 4468/4417 |  lat:   54 ms| bidding (0) | balance:500000  
2018-01-05 03:37:45 | Price: p:4418/b:4417/a:4418/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -122/  16/ -12 Avg: 4468/4417 |  lat:   55 ms| bidding (0) | balance:500000  
2018-01-05 03:37:45 | Price: p:4418/b:4417/a:4418/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -122/  16/ -12 Avg: 4468/4418 |  lat:   99 ms| bidding (0) | balance:500000  
2018-01-05 03:37:56 | Price: p:4418/b:4417/a:4418/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -122/  17/ -12 Avg: 4468/4418 |  lat:   59 ms| bidding (0) | balance:500000  
2018-01-05 03:38:05 | Price: p:4417/b:4417/a:4418/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -123/  17/ -12 Avg: 4468/4418 |  lat:   60 ms| bidding (0) | balance:500000  
2018-01-05 03:38:14 | Price: p:4418/b:4417/a:4418/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -122/  18/  -9 Avg: 4468/4418 |  lat:   61 ms| bidding (0) | balance:500000  
2018-01-05 03:38:19 | Price: p:4418/b:4417/a:4418/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -122/  18/  -2 Avg: 4468/4418 |  lat:   54 ms| bidding (0) | balance:500000  
2018-01-05 03:38:32 | Price: p:4418/b:4417/a:4418/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -106/  16/   1 Avg: 4467/4419 |  lat:  115 ms| bidding (0) | balance:500000  
2018-01-05 03:38:41 | Price: p:4418/b:4417/a:4418/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -122/  17/   0 Avg: 4467/4419 |  lat:   57 ms| bidding (0) | balance:500000  
2018-01-05 03:38:54 | Price: p:4418/b:4418/a:4437/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -122/  18/   1 Avg: 4467/4419 |  lat:   73 ms| bidding (0) | balance:500000  
2018-01-05 03:38:59 | Price: p:4418/b:4418/a:4437/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -122/  -2/   1 Avg: 4466/4419 |  lat:   58 ms| bidding (0) | balance:500000  
2018-01-05 03:38:59 | Price: p:4418/b:4418/a:4436/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -122/  -2/   0 Avg: 4466/4419 |  lat:   71 ms| bidding (0) | balance:500000  
2018-01-05 03:38:59 | Price: p:4418/b:4420/a:4433/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -122/  -2/   0 Avg: 4466/4419 |  lat:   84 ms| bidding (0) | balance:500000  
2018-01-05 03:39:15 | Price: p:4420/b:4418/a:4420/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/  17/   2 Avg: 4466/4420 |  lat:   83 ms| bidding (0) | balance:500000  
2018-01-05 03:39:19 | Price: p:4420/b:4418/a:4420/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/  17/   3 Avg: 4466/4420 |  lat:   94 ms| bidding (0) | balance:500000  
2018-01-05 03:39:22 | Price: p:4420/b:4417/a:4420/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/  17/   3 Avg: 4466/4420 |  lat:   98 ms| bidding (0) | balance:500000  
2018-01-05 03:39:25 | Price: p:4417/b:4416/a:4417/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -127/  14/   0 Avg: 4465/4420 |  lat:   86 ms| bidding (0) | balance:500000  
2018-01-05 03:39:27 | Price: p:4417/b:4416/a:4417/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -127/  14/   0 Avg: 4465/4420 |  lat:   88 ms| bidding (0) | balance:500000  
2018-01-05 03:39:34 | Price: p:4410/b:4409/a:4410/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -134/   6/  -8 Avg: 4465/4420 |  lat:   85 ms| bidding (0) | balance:500000  
2018-01-05 03:39:37 | Price: p:4410/b:4409/a:4410/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -134/   6/  -8 Avg: 4465/4419 |  lat:   64 ms| bidding (0) | balance:500000  
2018-01-05 03:39:39 | Price: p:4410/b:4409/a:4410/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -134/   6/  -8 Avg: 4465/4419 |  lat:   69 ms| bidding (0) | balance:500000  
2018-01-05 03:39:43 | Price: p:4410/b:4409/a:4410/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -134/ -17/  -8 Avg: 4465/4419 |  lat:   50 ms| bidding (0) | balance:500000  
