2019-10-02 19:19:36  | [93mWelcome to Korbit Salon ^^[0m
btc                  | trade_in_use 0.0 coins | available 0.0 coins 
2019-10-02 19:19:46  | [93mWelcome to Korbit Salon ^^[0m
btc                  | trade_in_use 0.0 coins | available 0.0 coins 
2019-10-02 19:19:56  | [93mWelcome to Korbit Salon ^^[0m
btc                  | trade_in_use 0.0 coins | available 0.0 coins 
2019-10-02 19:20:06  | [93mWelcome to Korbit Salon ^^[0m
btc                  | trade_in_use 0.0 coins | available 0.0 coins 
2019-10-02 19:20:16  | [93mWelcome to Korbit Salon ^^[0m
btc                  | trade_in_use 0.0 coins | available 0.0 coins 
2019-10-02 19:20:27  | [93mWelcome to Korbit Salon ^^[0m
btc                  | trade_in_use 0.0 coins | available 0.0 coins 
2019-10-02 19:18:11  | TEST  | Price: p:9,935,000/b:9,930,000/a:9,942,000/l:9,900,790 | Delta: -23000( -0%)/-11000(-0.1%)/   0(0.0%) Avg: 9941167/9937800 | bal:455,634  
2019-10-02 19:18:11  | TEST  | Price: p:9,935,000/b:9,930,000/a:9,940,000/l:9,900,790 | Delta: -23000( -0%)/-11000(-0.1%)/   0(0.0%) Avg: 9941167/9937800 | bal:455,634  
2019-10-02 19:18:11  | TEST  | Price: p:9,935,000/b:9,930,000/a:9,943,000/l:9,900,790 | Delta: -23000( -0%)/-11000(-0.1%)/   0(0.0%) Avg: 9941167/9937800 | bal:455,634  
2019-10-02 19:18:11  | TEST  | Price: p:9,935,000/b:9,930,000/a:9,941,500/l:9,900,790 | Delta: -23000( -0%)/-11000(-0.1%)/   0(0.0%) Avg: 9941167/9937800 | bal:455,634  
2019-10-02 19:18:11  | TEST  | Price: p:9,935,000/b:9,926,500/a:9,941,500/l:9,900,790 | Delta: -23000( -0%)/-11000(-0.1%)/   0(0.0%) Avg: 9941167/9937800 | bal:455,634  
2019-10-02 19:18:11  | TEST  | Price: p:9,935,000/b:9,925,000/a:9,941,500/l:9,900,790 | Delta: -23000( -0%)/-11000(-0.1%)/   0(0.0%) Avg: 9941167/9937800 | bal:455,634  
2019-10-02 19:18:11  | TEST  | Price: p:9,935,000/b:9,925,000/a:9,940,500/l:9,900,790 | Delta: -23000( -0%)/-11000(-0.1%)/   0(0.0%) Avg: 9941167/9937800 | bal:455,634  
2019-10-02 19:18:11  | TEST  | Price: p:9,935,000/b:9,925,000/a:9,943,000/l:9,900,790 | Delta: -23000( -0%)/-11000(-0.1%)/   0(0.0%) Avg: 9941167/9937800 | bal:455,634  
2019-10-02 19:18:11  | TEST  | Price: p:9,935,000/b:9,925,500/a:9,943,000/l:9,900,790 | Delta: -23000( -0%)/-11000(-0.1%)/   0(0.0%) Avg: 9941167/9937800 | bal:455,634  
2019-10-02 19:18:11  | TEST  | Price: p:9,935,000/b:9,925,500/a:9,940,500/l:9,900,790 | Delta: -23000( -0%)/-11000(-0.1%)/   0(0.0%) Avg: 9941167/9937800 | bal:455,634  
2019-10-02 19:18:11  | TEST  | Price: p:9,935,000/b:9,925,500/a:9,942,000/l:9,900,790 | Delta: -23000( -0%)/-11000(-0.1%)/   0(0.0%) Avg: 9941167/9937800 | bal:455,634  
