xrp     | trade_in_use 85.828 coin
[(10387685, 0.0998), (10318403, 0.09992000000000001), (10316484, 0.09992000000000001), (10305206, 0.009992000000000001), (10305019, 0.00998546), (10304867, 0.01665332), (9910816, 0.82852404), (9908787, 0.16760432328407088), (9907696, 0.017075873516126272)]
2018-01-05 22:37:28 | Price: p:1,495,350/b:1,486,550/a:1,495,100/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -4650/ -3550/  7350 Avg: 1495149/1489252 |  lat:   42 ms| bidding (0) | balance:170741  
2018-01-05 22:37:28 | Price: p:1,495,350/b:1,486,550/a:1,495,050/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -4650/ -3550/  7350 Avg: 1495149/1489252 |  lat:   42 ms| bidding (0) | balance:170741  
2018-01-05 22:37:28 | Price: p:1,495,350/b:1,486,550/a:1,488,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   -400/ -3550/  7350 Avg: 1495095/1489252 |  lat:   61 ms| bidding (0) | balance:170741  
2018-01-05 22:38:17 | Price: p:1,488,950/b:1,486,550/a:1,488,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -11050/ -9550/   950 Avg: 1495071/1489016 |  lat:   45 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,550/a:1,494,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -5050/ -3550/  -400 Avg: 1495048/1489085 |  lat:   42 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,550/a:1,494,850/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -5050/  6200/  6000 Avg: 1495048/1488973 |  lat:   58 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,550/a:1,494,800/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -11700/  6450/  6000 Avg: 1494991/1488983 |  lat:   50 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,550/a:1,492,800/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -11700/  6450/  6000 Avg: 1494991/1488983 |  lat:   45 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,500/a:1,492,800/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -11700/  6100/  6000 Avg: 1494991/1488994 |  lat:   63 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,500/a:1,492,700/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -9950/  6100/  6000 Avg: 1494945/1488994 |  lat:   67 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,500/a:1,492,650/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -9950/  6950/  6000 Avg: 1494945/1489011 |  lat:   87 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,500/a:1,492,600/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -9950/  6950/     0 Avg: 1494945/1489011 |  lat:   69 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,500/a:1,492,550/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -9950/  6950/     0 Avg: 1494945/1489011 |  lat:  106 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,500/a:1,492,500/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   -700/  6950/     0 Avg: 1494871/1489011 |  lat:   45 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,500/a:1,491,200/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -10000/  7000/     0 Avg: 1494791/1489052 |  lat:  153 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,500/a:1,491,150/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -10000/  7000/     0 Avg: 1494791/1489052 |  lat:   56 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,500/a:1,491,050/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -10000/  7000/     0 Avg: 1494791/1489052 |  lat:   61 ms| bidding (0) | balance:170741  
2018-01-05 22:38:19 | Price: p:1,494,950/b:1,486,500/a:1,488,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -9350/  7000/     0 Avg: 1494752/1489052 |  lat:   57 ms| bidding (0) | balance:170741  
2018-01-05 22:40:08 | Price: p:1,486,500/b:1,486,400/a:1,488,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -17900/  -600/  -100 Avg: 1494628/1488809 |  lat:   63 ms| bidding (0) | balance:170741  
2018-01-05 22:40:09 | Price: p:1,486,400/b:1,486,400/a:1,488,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -17900/  -600/  -100 Avg: 1494628/1488809 |  lat:   41 ms| bidding (0) | balance:170741  
2018-01-05 22:40:15 | Price: p:1,488,950/b:1,486,400/a:1,488,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -15350/  1950/  2450 Avg: 1494534/1488811 |  lat:  116 ms| bidding (0) | balance:170741  
2018-01-05 22:40:15 | Price: p:1,488,950/b:1,487,500/a:1,488,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -15350/ -9750/  2450 Avg: 1494534/1488836 |  lat:  102 ms| bidding (0) | balance:170741  
2018-01-05 22:40:15 | Price: p:1,488,950/b:1,487,500/a:1,488,900/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -15300/ -9700/  2450 Avg: 1494437/1488558 |  lat:   42 ms| bidding (0) | balance:170741  
2018-01-05 22:40:15 | Price: p:1,488,950/b:1,486,400/a:1,488,900/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -15300/ -9700/  2450 Avg: 1494437/1488314 |  lat:   47 ms| bidding (0) | balance:170741  
2018-01-05 22:40:15 | Price: p:1,488,950/b:1,486,400/a:1,488,850/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -15300/ -9700/  2450 Avg: 1494437/1488314 |  lat:   48 ms| bidding (0) | balance:170741  
2018-01-05 22:41:15 | Price: p:1,488,850/b:1,488,900/a:1,494,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -11700/  1750/     0 Avg: 1494243/1488018 |  lat:   77 ms| bidding (0) | balance:170741  
2018-01-05 22:41:22 | Price: p:1,488,900/b:1,488,000/a:1,494,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -11650/  1800/    50 Avg: 1494223/1488032 |  lat:   80 ms| bidding (0) | balance:170741  
2018-01-05 22:41:22 | Price: p:1,488,900/b:1,488,000/a:1,494,650/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -11650/   600/    50 Avg: 1494223/1488062 |  lat:   60 ms| bidding (0) | balance:170741  
2018-01-05 22:41:29 | Price: p:1,488,000/b:1,486,400/a:1,494,650/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -12550/  -300/  -850 Avg: 1494199/1488061 |  lat:   58 ms| bidding (0) | balance:170741  
