2019-01-11 23:02:51  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 680.1588 coins | available 0.0 coins 
xrp                  | open_orders | id:  14444799 type: ask 
2019-01-11 23:02:51  | Get Last Order from Redis
2019-01-11 23:02:51  | Get Last Order from Redis
2019-01-11 23:02:51  | Get Last Order from Redis
2019-01-11 23:02:51  | Get Last Order from Redis
2019-01-11 23:02:51  | Get Last Order from Redis
2019-01-11 23:02:51  | My Order List is  [] 
2019-01-11 23:02:51  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-01-11 23:02:51  | Spawn Trader  dongwkim-trader1 
2019-01-11 23:02:51  | Current Trader is dongwkim-trader1
2019-01-11 23:02:51  | Get Last Order from Redis
2019-01-11 23:02:54  | TEST  | Price: p:369.9/b:369.9/a:370.2/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/  -0(-0.0%)/   0(0.1%) Avg:  370/ 370 | deal (0) | bal:347,820  
2019-01-11 23:03:00  | TEST  | Price: p:370.2/b:369.9/a:370.2/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.1%)/   1(0.2%) Avg:  370/ 370 | deal (0) | bal:348,024  
2019-01-11 23:03:01  | TEST  | Price: p:370.2/b:370.0/a:370.2/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.1%)/   1(0.2%) Avg:  370/ 370 | deal (0) | bal:348,024  
2019-01-11 23:03:03  | TEST  | Price: p:370.2/b:370.2/a:370.4/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.1%)/   1(0.2%) Avg:  370/ 370 | deal (0) | bal:348,024  
2019-01-11 23:03:03  | TEST  | Price: p:370.2/b:370.2/a:370.4/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.1%)/   1(0.2%) Avg:  370/ 370 | deal (0) | bal:348,024  
2019-01-11 23:03:06  | TEST  | Price: p:370.4/b:370.4/a:370.8/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.1%)/   1(0.2%) Avg:  370/ 370 | deal (0) | bal:348,160  
2019-01-11 23:03:06  | TEST  | Price: p:370.4/b:370.4/a:370.5/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.1%)/   1(0.3%) Avg:  370/ 370 | deal (0) | bal:348,160  
2019-01-11 23:03:07  | TEST  | Price: p:370.5/b:370.6/a:370.8/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.1%)/   1(0.3%) Avg:  370/ 370 | deal (0) | bal:348,228  
2019-01-11 23:03:11  | TEST  | Price: p:370.8/b:370.6/a:371.5/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   1(0.2%)/   1(0.4%) Avg:  370/ 370 | deal (0) | bal:348,432  
2019-01-11 23:03:11  | TEST  | Price: p:370.8/b:371.0/a:371.5/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   1(0.2%)/   1(0.4%) Avg:  370/ 370 | deal (0) | bal:348,432  
2019-01-11 23:03:11  | TEST  | Price: p:370.8/b:371.4/a:371.5/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.4%)/   2(0.5%) Avg:  370/ 370 | deal (0) | bal:348,432  
2019-01-11 23:03:19  | TEST  | Price: p:371.4/b:371.4/a:371.5/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.4%)/   2(0.5%) Avg:  370/ 370 | deal (0) | bal:348,840  
2019-01-11 23:03:21  | TEST  | Price: p:371.5/b:371.4/a:371.5/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   2(0.4%)/   2(0.5%) Avg:  370/ 370 | deal (0) | bal:348,908  
2019-01-11 23:03:22  | TEST  | Price: p:371.5/b:371.4/a:371.5/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   2(0.4%)/   2(0.5%) Avg:  370/ 370 | deal (0) | bal:348,908  
2019-01-11 23:03:25  | TEST  | Price: p:371.5/b:371.5/a:371.9/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   2(0.4%)/   2(0.5%) Avg:  370/ 370 | deal (0) | bal:348,908  
2019-01-11 23:03:27  | TEST  | Price: p:371.9/b:371.7/a:371.8/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   2(0.5%)/   2(0.6%) Avg:  370/ 370 | deal (0) | bal:349,181  
2019-01-11 23:03:30  | TEST  | Price: p:371.9/b:371.7/a:371.9/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   2(0.5%)/   2(0.6%) Avg:  370/ 370 | deal (0) | bal:349,181  
2019-01-11 23:03:30  | TEST  | Price: p:371.9/b:371.7/a:371.8/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   2(0.5%)/   2(0.6%) Avg:  370/ 370 | deal (0) | bal:349,181  
2019-01-11 23:03:35  | TEST  | Price: p:371.9/b:371.9/a:372.6/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   2(0.5%)/   2(0.6%) Avg:  370/ 371 | deal (0) | bal:349,181  
2019-01-11 23:03:35  | TEST  | Price: p:371.9/b:372.0/a:372.5/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   2(0.5%)/   2(0.6%) Avg:  370/ 371 | deal (0) | bal:349,181  
2019-01-11 23:03:35  | TEST  | Price: p:371.9/b:371.9/a:372.6/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   2(0.5%)/   2(0.6%) Avg:  370/ 371 | deal (0) | bal:349,181  
2019-01-11 23:03:41  | TEST  | Price: p:372.5/b:372.5/a:372.6/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   2(0.7%)/   3(0.7%) Avg:  370/ 371 | deal (0) | bal:349,589  
2019-01-11 23:03:49  | TEST  | Price: p:372.5/b:372.5/a:372.6/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   2(0.7%)/   3(0.7%) Avg:  370/ 371 | deal (0) | bal:349,589  
2019-01-11 23:03:53  | TEST  | Price: p:372.6/b:372.6/a:373.1/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   3(0.7%)/   2(0.6%) Avg:  371/ 371 | deal (0) | bal:349,657  
2019-01-11 23:03:53  | TEST  | Price: p:372.6/b:372.6/a:372.8/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   3(0.7%)/   2(0.6%) Avg:  371/ 371 | deal (0) | bal:349,657  
2019-01-11 23:03:53  | TEST  | Price: p:372.6/b:372.6/a:373.1/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   3(0.7%)/   2(0.6%) Avg:  371/ 371 | deal (0) | bal:349,657  
2019-01-11 23:03:53  | TEST  | Price: p:372.6/b:372.6/a:373.0/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   3(0.7%)/   2(0.6%) Avg:  371/ 371 | deal (0) | bal:349,657  
2019-01-11 23:03:53  | TEST  | Price: p:372.6/b:372.6/a:372.9/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   3(0.7%)/   2(0.6%) Avg:  371/ 371 | deal (0) | bal:349,657  
2019-01-11 23:03:53  | TEST  | Price: p:372.6/b:372.6/a:372.8/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   3(0.7%)/   2(0.6%) Avg:  371/ 371 | deal (0) | bal:349,657  
2019-01-11 23:03:53  | TEST  | Price: p:372.6/b:372.6/a:373.2/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   3(0.7%)/   2(0.6%) Avg:  371/ 371 | deal (0) | bal:349,657  
2019-01-11 23:03:53  | TEST  | Price: p:372.6/b:372.7/a:372.8/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   3(0.7%)/   2(0.6%) Avg:  371/ 371 | deal (0) | bal:349,657  
2019-01-11 23:03:53  | TEST  | Price: p:372.6/b:372.7/a:373.2/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   3(0.7%)/   2(0.6%) Avg:  371/ 371 | deal (0) | bal:349,657  
2019-01-11 23:03:53  | TEST  | Price: p:372.6/b:372.7/a:372.8/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   3(0.7%)/   2(0.5%) Avg:  371/ 371 | deal (0) | bal:349,657  
2019-01-11 23:03:53  | TEST  | Price: p:372.6/b:372.0/a:373.2/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   2(0.7%)/   2(0.5%) Avg:  371/ 371 | deal (0) | bal:349,657  
2019-01-11 23:03:53  | TEST  | Price: p:372.6/b:372.0/a:372.8/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   3(0.7%)/   1(0.4%) Avg:  371/ 371 | deal (0) | bal:349,657  
2019-01-11 23:04:10  | TEST  | Price: p:372.8/b:372.8/a:372.9/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   3(0.7%)/   1(0.4%) Avg:  371/ 371 | deal (0) | bal:349,793  
2019-01-11 23:04:10  | TEST  | Price: p:372.8/b:372.8/a:373.0/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   3(0.7%)/   1(0.4%) Avg:  371/ 371 | deal (0) | bal:349,793  
2019-01-11 23:04:10  | TEST  | Price: p:372.8/b:372.0/a:373.0/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   3(0.7%)/   1(0.4%) Avg:  371/ 371 | deal (0) | bal:349,793  
2019-01-11 23:04:10  | TEST  | Price: p:372.8/b:372.0/a:372.9/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   3(0.7%)/   1(0.4%) Avg:  371/ 371 | deal (0) | bal:349,793  
2019-01-11 23:04:24  | TEST  | Price: p:373.0/b:372.0/a:373.0/l:374 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   3(0.8%)/   1(0.3%) Avg:  371/ 371 | deal (0) | bal:349,929  
