2019-01-13 21:37:03  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 680.1588 coins | available 0.0 coins 
xrp                  | open_orders | id:  14444799 type: ask 
2019-01-13 21:37:03  | Get Last Order from Redis
2019-01-13 21:37:03  | Get Last Order from Redis
2019-01-13 21:37:03  | Get Last Order from Redis
2019-01-13 21:37:03  | Get Last Order from Redis
2019-01-13 21:37:03  | Get Last Order from Redis
2019-01-13 21:37:03  | My Order List is  [] 
2019-01-13 21:37:03  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-01-13 21:37:03  | Spawn Trader  dongwkim-trader1 
2019-01-13 21:37:03  | Current Trader is dongwkim-trader1
2019-01-13 21:37:03  | Get Last Order from Redis
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.2%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.2%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.2%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.3/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.2%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.2/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.2%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.3/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.2%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.2/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.2%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.1/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.3%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.3/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.3%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.0/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.3%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.2/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.3%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.1/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.3%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.0/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.3%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.1/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.3%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.3%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
2019-01-13 21:35:55  | TEST  | Price: p:371.9/b:371.9/a:372.3/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   1(0.3%)/   0(0.0%) Avg:  371/ 371 | deal (0) | bal:349,181  
