2019-07-11 00:15:10  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 680.1588 coins | available 20.991812 coins 
xrp                  | open_orders | id:  14444799 type: ask 
2019-07-11 00:15:10  | Get Last Order from Redis
2019-07-11 00:15:10  | Get Last Order from Redis
2019-07-11 00:15:10  | Get Last Order from Redis
2019-07-11 00:15:10  | Get Last Order from Redis
2019-07-11 00:15:10  | Get Last Order from Redis
2019-07-11 00:15:10  | My Order List is  [] 
2019-07-11 00:15:10  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-07-11 00:15:10  | Spawn Trader  dongwkim-trader1 
2019-07-11 00:15:10  | Current Trader is dongwkim-trader1
2019-07-11 00:15:10  | Get Last Order from Redis
2019-07-11 00:15:14  | TEST  | Price: p:385.0/b:385.0/a:394.0/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -18(-4.7%)/  -8(-2.1%)/  -5(-1.3%) Avg:  393/ 389 | deal (0) | bal:269,942  
2019-07-11 00:15:28  | TEST  | Price: p:385.0/b:385.0/a:394.0/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -18(-4.7%)/  -8(-2.1%)/  -2(-0.5%) Avg:  393/ 388 | deal (0) | bal:269,942  
2019-07-11 00:15:28  | TEST  | Price: p:385.0/b:385.0/a:394.0/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -18(-4.7%)/  -8(-2.1%)/  -2(-0.5%) Avg:  393/ 388 | deal (0) | bal:269,942  
2019-07-11 00:15:36  | TEST  | Price: p:385.0/b:385.0/a:394.0/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -19(-4.9%)/  -9(-2.3%)/  -2(-0.5%) Avg:  393/ 388 | deal (0) | bal:269,942  
2019-07-11 00:15:38  | TEST  | Price: p:384.0/b:383.0/a:384.0/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -19(-4.9%)/  -9(-2.3%)/  -2(-0.5%) Avg:  392/ 388 | deal (0) | bal:269,241  
2019-07-11 00:15:39  | TEST  | Price: p:384.0/b:383.0/a:384.0/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -19(-4.9%)/  -9(-2.3%)/  -2(-0.5%) Avg:  392/ 388 | deal (0) | bal:269,241  
2019-07-11 00:15:56  | TEST  | Price: p:384.0/b:383.0/a:384.0/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -19(-4.9%)/  -9(-2.3%)/  -1(-0.3%) Avg:  392/ 388 | deal (0) | bal:269,241  
2019-07-11 00:16:05  | TEST  | Price: p:383.0/b:383.0/a:384.0/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -20(-5.2%)/ -10(-2.6%)/  -2(-0.5%) Avg:  392/ 388 | deal (0) | bal:268,540  
2019-07-11 00:16:19  | TEST  | Price: p:383.0/b:382.5/a:382.8/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -20(-5.2%)/ -10(-2.6%)/  -2(-0.5%) Avg:  392/ 388 | deal (0) | bal:268,540  
2019-07-11 00:16:19  | TEST  | Price: p:383.0/b:382.5/a:384.0/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -20(-5.2%)/ -10(-2.6%)/  -2(-0.5%) Avg:  392/ 388 | deal (0) | bal:268,540  
2019-07-11 00:16:19  | TEST  | Price: p:383.0/b:382.5/a:382.8/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -20(-5.2%)/ -10(-2.6%)/  -2(-0.5%) Avg:  392/ 388 | deal (0) | bal:268,540  
2019-07-11 00:16:19  | TEST  | Price: p:383.0/b:382.5/a:384.0/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -20(-5.2%)/ -10(-2.6%)/  -2(-0.5%) Avg:  392/ 388 | deal (0) | bal:268,540  
2019-07-11 00:16:32  | TEST  | Price: p:382.5/b:382.0/a:382.3/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -21(-5.3%)/ -11(-2.7%)/  -2(-0.6%) Avg:  391/ 388 | deal (0) | bal:268,190  
2019-07-11 00:16:32  | TEST  | Price: p:382.5/b:382.0/a:384.0/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -21(-5.3%)/ -11(-2.7%)/  -2(-0.4%) Avg:  391/ 388 | deal (0) | bal:268,190  
2019-07-11 00:16:47  | TEST  | Price: p:382.0/b:382.0/a:384.0/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -21(-5.5%)/ -11(-2.8%)/  -2(-0.5%) Avg:  391/ 387 | deal (0) | bal:267,839  
2019-07-11 00:16:47  | TEST  | Price: p:382.0/b:381.0/a:381.8/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -21(-5.5%)/ -11(-2.8%)/  -2(-0.5%) Avg:  391/ 387 | deal (0) | bal:267,839  
