2019-09-18 03:38:50  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-09-18 03:38:51  | Get Last Order from Redis
2019-09-18 03:38:51  | Get Last Order from Redis
2019-09-18 03:38:51  | Get Last Order from Redis
2019-09-18 03:38:51  | Get Last Order from Redis
2019-09-18 03:38:51  | Get Last Order from Redis
2019-09-18 03:38:51  | My Order List is  [] 
2019-09-18 03:38:51  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-09-18 03:38:51  | Spawn Trader  dongwkim-trader1 
2019-09-18 03:38:51  | Current Trader is dongwkim-trader1
2019-09-18 03:38:51  | Get Last Order from Redis
2019-09-18 03:38:29  | TEST  | Price: p:339.4/b:338.7/a:339.3/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.5%)/  -3(-0.9%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:237,970  
2019-09-18 03:38:29  | TEST  | Price: p:339.4/b:338.8/a:339.6/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.5%)/  -3(-0.9%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:237,970  
2019-09-18 03:38:29  | TEST  | Price: p:339.4/b:338.8/a:339.4/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -8(-2.4%)/  -3(-0.8%)/   0(0.1%) Avg:  344/ 340 | deal (0) | bal:237,970  
2019-09-18 03:39:00  | TEST  | Price: p:339.9/b:339.9/a:340.2/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -8(-2.4%)/  -3(-0.8%)/   0(0.1%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:338.8/a:339.8/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -8(-2.4%)/  -3(-0.8%)/   0(0.1%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:338.8/a:340.0/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -8(-2.4%)/  -3(-0.8%)/   0(0.1%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:338.9/a:340.0/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.5%)/  -3(-0.8%)/   0(0.1%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:338.8/a:340.0/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.5%)/  -3(-0.8%)/   0(0.1%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.1/a:340.0/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.5%)/  -3(-0.8%)/   0(0.1%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.2/a:340.2/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.5%)/  -3(-0.8%)/   0(0.1%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.1/a:340.0/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.5%)/  -3(-0.8%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.0/a:340.0/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.5%)/  -3(-0.8%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.1/a:340.0/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.6%)/  -3(-0.8%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.0/a:340.0/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.6%)/  -3(-0.8%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.1/a:340.0/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.6%)/  -3(-0.8%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.1/a:339.9/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.6%)/  -3(-0.8%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.1/a:339.8/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.6%)/  -3(-0.8%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.0/a:339.8/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.6%)/  -3(-0.8%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:338.8/a:339.8/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.7%)/  -3(-0.9%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.1/a:339.8/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.7%)/  -3(-0.9%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.2/a:339.8/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.7%)/  -3(-0.9%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.2/a:339.9/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.7%)/  -3(-0.8%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.1/a:339.9/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.7%)/  -3(-0.8%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:339.1/a:339.8/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.7%)/  -3(-0.8%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
2019-09-18 03:39:01  | TEST  | Price: p:339.9/b:338.8/a:339.8/l:341 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.7%)/  -3(-0.8%)/   0(0.0%) Avg:  344/ 340 | deal (0) | bal:238,321  
