2019-09-19 00:23:54  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-09-19 00:23:55  | Get Last Order from Redis
2019-09-19 00:23:55  | Get Last Order from Redis
2019-09-19 00:23:55  | Get Last Order from Redis
2019-09-19 00:23:55  | Get Last Order from Redis
2019-09-19 00:23:55  | Get Last Order from Redis
2019-09-19 00:23:55  | My Order List is  [] 
2019-09-19 00:23:55  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-09-19 00:23:55  | Spawn Trader  dongwkim-trader1 
2019-09-19 00:23:55  | Current Trader is dongwkim-trader1
2019-09-19 00:23:55  | Get Last Order from Redis
2019-09-19 00:23:51  | TEST  | Price: p:373.7/b:372.6/a:373.4/l:373 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.3%)/   0(0.0%)/   0(0.0%) Avg:  379/ 373 | deal (0) | bal:262,019  
2019-09-19 00:23:51  | TEST  | Price: p:373.7/b:372.6/a:373.3/l:373 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.3%)/   0(0.0%)/   0(0.0%) Avg:  379/ 373 | deal (0) | bal:262,019  
2019-09-19 00:23:51  | TEST  | Price: p:373.7/b:372.6/a:373.2/l:373 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.3%)/   0(0.0%)/   0(0.0%) Avg:  379/ 373 | deal (0) | bal:262,019  
2019-09-19 00:24:11  | TEST  | Price: p:373.3/b:372.9/a:373.3/l:373 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -8(-2.2%)/   0(0.1%)/  -0(-0.1%) Avg:  379/ 373 | deal (0) | bal:261,739  
2019-09-19 00:24:14  | TEST  | Price: p:373.3/b:372.9/a:373.3/l:373 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -8(-2.2%)/   0(0.1%)/  -0(-0.1%) Avg:  379/ 373 | deal (0) | bal:261,739  
2019-09-19 00:24:14  | TEST  | Price: p:373.3/b:372.9/a:373.4/l:373 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -8(-2.2%)/   1(0.4%)/  -0(-0.1%) Avg:  379/ 373 | deal (0) | bal:261,739  
2019-09-19 00:24:14  | TEST  | Price: p:373.3/b:373.0/a:373.7/l:373 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -8(-2.2%)/   1(0.3%)/  -0(-0.1%) Avg:  379/ 373 | deal (0) | bal:261,739  
2019-09-19 00:24:21  | TEST  | Price: p:373.7/b:373.0/a:373.7/l:373 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -8(-2.1%)/   2(0.4%)/   0(0.0%) Avg:  379/ 373 | deal (0) | bal:262,019  
2019-09-19 00:24:21  | TEST  | Price: p:373.7/b:372.7/a:373.8/l:373 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -8(-2.1%)/   1(0.3%)/   0(0.1%) Avg:  379/ 373 | deal (0) | bal:262,019  
2019-09-19 00:24:21  | TEST  | Price: p:373.7/b:373.5/a:373.8/l:373 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -8(-2.1%)/   0(0.1%)/   0(0.1%) Avg:  379/ 373 | deal (0) | bal:262,019  
2019-09-19 00:24:41  | TEST  | Price: p:373.5/b:373.5/a:373.7/l:373 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -8(-2.0%)/   0(0.1%)/   0(0.1%) Avg:  379/ 373 | deal (0) | bal:261,879  
