2019-09-20 10:04:02  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 0.0 coins 
xrp                  | open_orders | id:  31302889 type: bid 
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | My Order List is  [] 
2019-09-20 10:04:02  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-09-20 10:04:02  | Spawn Trader  dongwkim-trader1 
2019-09-20 10:04:02  | Current Trader is dongwkim-trader1
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:00  | TEST  | Price: p:346.6/b:346.6/a:347.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -2(-0.6%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:04:00  | TEST  | Price: p:346.6/b:346.6/a:347.1/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -2(-0.6%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:04:00  | TEST  | Price: p:346.6/b:346.6/a:347.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -2(-0.6%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:04:12  | TEST  | Price: p:346.6/b:346.6/a:347.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -2(-0.6%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:04:12  | TEST  | Price: p:346.6/b:346.6/a:346.9/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -2(-0.6%)/  -0(-0.1%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:04:12  | TEST  | Price: p:346.6/b:346.6/a:346.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -2(-0.6%)/   0(0.0%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:04:12  | TEST  | Price: p:346.6/b:346.6/a:346.9/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -2(-0.6%)/   0(0.0%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:04:12  | TEST  | Price: p:346.6/b:346.6/a:346.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.6%)/  -2(-0.6%)/   0(0.0%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:22  | TEST  | Price: p:346.6/b:346.3/a:346.6/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.6%)/  -2(-0.6%)/   0(0.0%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:23  | TEST  | Price: p:346.6/b:346.6/a:346.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.6%)/  -2(-0.6%)/   0(0.0%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:23  | TEST  | Price: p:346.6/b:346.3/a:346.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -9(-2.6%)/  -2(-0.6%)/   0(0.0%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:34  | TEST  | Price: p:346.0/b:346.0/a:346.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.8%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:34  | TEST  | Price: p:346.0/b:346.0/a:346.7/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.8%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:34  | TEST  | Price: p:346.0/b:345.9/a:346.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.8%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:34  | TEST  | Price: p:346.0/b:345.8/a:346.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.8%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:34  | TEST  | Price: p:346.0/b:345.9/a:346.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.8%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:34  | TEST  | Price: p:346.0/b:345.9/a:346.7/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.8%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:34  | TEST  | Price: p:346.0/b:345.8/a:346.7/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.8%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:34  | TEST  | Price: p:346.0/b:345.8/a:346.5/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.8%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:34  | TEST  | Price: p:346.0/b:345.8/a:346.3/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.8%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:34  | TEST  | Price: p:346.0/b:345.7/a:346.3/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.8%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:34  | TEST  | Price: p:346.0/b:345.7/a:346.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.8%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:06:34  | TEST  | Price: p:346.0/b:345.6/a:346.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.8%)/  -1(-0.2%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:07:31  | TEST  | Price: p:346.0/b:345.6/a:345.9/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.8%)/  -0(-0.0%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:07:32  | TEST  | Price: p:345.6/b:345.6/a:345.9/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.9%)/  -3(-0.9%)/  -0(-0.1%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:07:32  | TEST  | Price: p:345.6/b:345.7/a:346.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.9%)/  -3(-0.9%)/  -0(-0.1%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:07:32  | TEST  | Price: p:345.6/b:345.6/a:346.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.9%)/  -3(-0.9%)/  -0(-0.1%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:07:32  | TEST  | Price: p:345.6/b:345.7/a:346.5/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.9%)/  -3(-0.9%)/  -0(-0.1%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:07:32  | TEST  | Price: p:345.6/b:345.7/a:346.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.9%)/  -3(-0.9%)/  -0(-0.1%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:07:32  | TEST  | Price: p:345.6/b:345.7/a:346.5/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.9%)/  -0(-0.1%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:07:32  | TEST  | Price: p:345.6/b:346.0/a:346.5/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.9%)/  -0(-0.1%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:07:32  | TEST  | Price: p:345.6/b:346.1/a:346.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.9%)/  -0(-0.1%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:07:32  | TEST  | Price: p:345.6/b:345.7/a:346.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.9%)/  -0(-0.1%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:07:32  | TEST  | Price: p:345.6/b:345.8/a:346.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.9%)/  -0(-0.1%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:07:32  | TEST  | Price: p:345.6/b:345.8/a:346.7/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.9%)/  -0(-0.1%) Avg:  349/ 346 | deal (0) | bal:242,112  
2019-09-20 10:07:32  | TEST  | Price: p:345.6/b:345.8/a:346.6/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -10(-2.8%)/  -3(-0.9%)/  -0(-0.1%) Avg:  349/ 346 | deal (0) | bal:242,112  
