2019-09-21 06:14:07  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 0.0 coins 
xrp                  | open_orders | id:  31302889 type: bid 
2019-09-21 06:14:07  | Get Last Order from Redis
2019-09-21 06:14:07  | Get Last Order from Redis
2019-09-21 06:14:07  | Get Last Order from Redis
2019-09-21 06:14:07  | Get Last Order from Redis
2019-09-21 06:14:07  | Get Last Order from Redis
2019-09-21 06:14:07  | My Order List is  [] 
2019-09-21 06:14:07  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-09-21 06:14:07  | Spawn Trader  dongwkim-trader1 
2019-09-21 06:14:07  | Current Trader is dongwkim-trader1
2019-09-21 06:14:07  | Get Last Order from Redis
2019-09-21 06:15:02  | TEST  | Price: p:343.3/b:343.2/a:343.8/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.1%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:15:02  | TEST  | Price: p:343.3/b:342.8/a:343.9/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.1%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:15:02  | TEST  | Price: p:343.3/b:343.0/a:343.9/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.1%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:15:02  | TEST  | Price: p:343.3/b:342.8/a:343.9/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.1%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:15:02  | TEST  | Price: p:343.3/b:343.2/a:343.9/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.1%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:15:02  | TEST  | Price: p:343.3/b:342.8/a:343.9/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.1%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:15:02  | TEST  | Price: p:343.3/b:343.4/a:343.9/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.1%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:16:13  | TEST  | Price: p:343.9/b:343.4/a:343.9/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.3%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:16:13  | TEST  | Price: p:343.9/b:343.2/a:343.9/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.3%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:16:13  | TEST  | Price: p:343.9/b:343.5/a:343.9/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.3%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:16:13  | TEST  | Price: p:343.9/b:343.2/a:343.9/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.3%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:16:13  | TEST  | Price: p:343.9/b:343.7/a:343.9/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.3%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:16:13  | TEST  | Price: p:343.9/b:343.7/a:344.0/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.3%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:16:13  | TEST  | Price: p:343.9/b:343.2/a:343.9/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.3%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
2019-09-21 06:16:13  | TEST  | Price: p:343.9/b:343.6/a:343.9/l:348 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.3%)/   0(0.0%) Avg:  343/ 343 | deal (0) | bal:242,112  
