2019-09-23 09:49:16  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 0.0 coins 
xrp                  | open_orders | id:  31302889 type: bid 
2019-09-23 09:49:17  | Get Last Order from Redis
2019-09-23 09:49:17  | Get Last Order from Redis
2019-09-23 09:49:17  | Get Last Order from Redis
2019-09-23 09:49:17  | Get Last Order from Redis
2019-09-23 09:49:17  | Get Last Order from Redis
2019-09-23 09:49:17  | My Order List is  [] 
2019-09-23 09:49:17  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-09-23 09:49:17  | Spawn Trader  dongwkim-trader1 
2019-09-23 09:49:17  | Current Trader is dongwkim-trader1
2019-09-23 09:49:17  | Get Last Order from Redis
2019-09-23 09:49:18  | Price: p:327.3/b:327.2/a:328.0/l:331 | Buy/Sell/Vol:    0/   0/0.000 | Delta:  -3(-0.9%)/  0(0.1%)/  0(0.0%) Avg:  328/ 327 | deal (0) | bal:242,112  
2019-09-23 09:49:18  | Price: p:327.3/b:326.8/a:328.0/l:331 | Buy/Sell/Vol:    0/   0/0.000 | Delta:  -3(-0.9%)/  0(0.1%)/  0(0.0%) Avg:  328/ 327 | deal (0) | bal:242,112  
2019-09-23 09:49:18  | Price: p:327.3/b:327.0/a:328.0/l:331 | Buy/Sell/Vol:    0/   0/0.000 | Delta:  -3(-0.9%)/  0(0.1%)/  0(0.0%) Avg:  328/ 327 | deal (0) | bal:242,112  
2019-09-23 09:49:18  | Price: p:327.3/b:327.1/a:328.0/l:331 | Buy/Sell/Vol:    0/   0/0.000 | Delta:  -3(-0.9%)/  0(0.1%)/  0(0.0%) Avg:  328/ 327 | deal (0) | bal:242,112  
2019-09-23 09:49:18  | Price: p:327.3/b:327.1/a:327.8/l:331 | Buy/Sell/Vol:    0/   0/0.000 | Delta:  -3(-0.9%)/  0(0.2%)/  0(0.0%) Avg:  328/ 327 | deal (0) | bal:242,112  
2019-09-23 09:49:18  | Price: p:327.3/b:327.1/a:328.0/l:331 | Buy/Sell/Vol:    0/   0/0.000 | Delta:  -3(-0.9%)/  0(0.2%)/  0(0.0%) Avg:  328/ 327 | deal (0) | bal:242,112  
2019-09-23 09:49:18  | Price: p:327.3/b:327.1/a:327.9/l:331 | Buy/Sell/Vol:    0/   0/0.000 | Delta:  -3(-0.9%)/  0(0.2%)/  0(0.0%) Avg:  328/ 327 | deal (0) | bal:242,112  
2019-09-23 09:49:18  | Price: p:327.3/b:327.1/a:327.8/l:331 | Buy/Sell/Vol:    0/   0/0.000 | Delta:  -3(-0.9%)/  0(0.2%)/  0(0.0%) Avg:  328/ 327 | deal (0) | bal:242,112  
2019-09-23 09:49:18  | Price: p:327.3/b:327.1/a:327.7/l:331 | Buy/Sell/Vol:    0/   0/0.000 | Delta:  -3(-0.9%)/  0(0.2%)/  0(0.0%) Avg:  328/ 327 | deal (0) | bal:242,112  
2019-09-23 09:49:18  | Price: p:327.3/b:327.1/a:327.8/l:331 | Buy/Sell/Vol:    0/   0/0.000 | Delta:  -3(-0.9%)/  0(0.2%)/  0(0.0%) Avg:  328/ 327 | deal (0) | bal:242,112  
2019-09-23 09:49:18  | Price: p:327.3/b:326.8/a:327.9/l:331 | Buy/Sell/Vol:    0/   0/0.000 | Delta:  -3(-0.9%)/  0(0.2%)/  0(0.0%) Avg:  328/ 327 | deal (0) | bal:242,112  
