2019-10-13 05:31:17  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 1.249846 coins 
2019-10-13 05:31:17  | Get Last Order from Redis
2019-10-13 05:31:17  | Get Last Order from Redis
2019-10-13 05:31:17  | Get Last Order from Redis
2019-10-13 05:31:17  | Get Last Order from Redis
2019-10-13 05:31:17  | Get Last Order from Redis
2019-10-13 05:31:17  | My Order List is  [] 
2019-10-13 05:31:17  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-10-13 05:31:17  | Spawn Trader  dongwkim-trader1 
2019-10-13 05:31:17  | Current Trader is dongwkim-trader1
2019-10-13 05:31:17  | Get Last Order from Redis
2019-10-13 05:21:19  | Price: p:323.4/b:322.9/a:323.6/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:322.7/a:323.6/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:322.8/a:323.6/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:322.7/a:323.6/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:322.8/a:323.6/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:322.7/a:323.6/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:322.7/a:323.8/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:322.8/a:323.7/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:322.9/a:323.7/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:322.8/a:323.7/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:322.9/a:323.8/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:323.0/a:323.8/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:322.9/a:323.8/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:323.0/a:323.8/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:323.2/a:323.8/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:323.3/a:323.8/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:323.4/a:323.8/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
2019-10-13 05:21:19  | Price: p:323.4/b:323.3/a:323.8/l:318 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  323/ 323 | deal (0) | bal:456,038  
