2017-12-21 03:58:54 | Price: p:1037200/b:1036750/a:1037050 | Buy: 0/0 |  1Hr: delta: -20200 1033700/1045430/1061400 tx: 222 | 10Min: delta: -2950 1036750/1038257/1040150 |  tx:  39 lat:   41 ms| bidding (0) | balance:100000  
2017-12-21 04:00:32 | Price: p:1037050/b:1037050/a:1037100 | Buy: 0/0 |  1Hr: delta: -20350 1033700/1045155/1061400 tx: 222 | 10Min: delta: -1400 1036750/1037584/1038450 |  tx:  29 lat:   45 ms| bidding (0) | balance:100000  
2017-12-21 04:00:38 | Price: p:1037050/b:1036750/a:1037100 | Buy: 0/0 |  1Hr: delta: -20350 1033700/1045155/1061400 tx: 222 | 10Min: delta: -1400 1036750/1037584/1038450 |  tx:  29 lat:  103 ms| bidding (0) | balance:100000  
2017-12-21 04:01:05 | Price: p:1037100/b:1036750/a:1037100 | Buy: 0/0 |  1Hr: delta: -20350 1033700/1044895/1061400 tx: 219 | 10Min: delta: -1350 1036750/1037568/1038450 |  tx:  30 lat:  101 ms| bidding (0) | balance:100000  
2017-12-21 04:01:13 | Price: p:1037100/b:1036750/a:1037100 | Buy: 0/0 |  1Hr: delta: -20350 1033700/1044860/1061400 tx: 220 | 10Min: delta: -1350 1036750/1037553/1038450 |  tx:  31 lat:   46 ms| bidding (0) | balance:100000  
2017-12-21 04:01:17 | Price: p:1037100/b:1036750/a:1037050 | Buy: 0/0 |  1Hr: delta: -20350 1033700/1044860/1061400 tx: 220 | 10Min: delta: -900 1036750/1037360/1038000 |  tx:  25 lat:   66 ms| bidding (0) | balance:100000  
2017-12-21 04:01:35 | Price: p:1037100/b:1036800/a:1037050 | Buy: 0/0 |  1Hr: delta: -20350 1033700/1044860/1061400 tx: 220 | 10Min: delta: -800 1036750/1037333/1037950 |  tx:  24 lat:   47 ms| bidding (0) | balance:100000  
2017-12-21 04:01:59 | Price: p:1037050/b:1036800/a:1037100 | Buy: 0/0 |  1Hr: delta: -20400 1033700/1044824/1061400 tx: 221 | 10Min: delta: -850 1036750/1037322/1037950 |  tx:  25 lat:   43 ms| bidding (0) | balance:100000  
2017-12-21 04:02:02 | Price: p:1037050/b:1036750/a:1037100 | Buy: 0/0 |  1Hr: delta: -20400 1033700/1044824/1061400 tx: 221 | 10Min: delta: -850 1036750/1037322/1037950 |  tx:  25 lat:   45 ms| bidding (0) | balance:100000  
2017-12-21 04:02:03 | Price: p:1037050/b:1036800/a:1037100 | Buy: 0/0 |  1Hr: delta: -20400 1033700/1044824/1061400 tx: 221 | 10Min: delta: -850 1036750/1037322/1037950 |  tx:  25 lat:   67 ms| bidding (0) | balance:100000  
2017-12-21 04:02:03 | Price: p:1037050/b:1036750/a:1037100 | Buy: 0/0 |  1Hr: delta: -20400 1033700/1044824/1061400 tx: 221 | 10Min: delta: -850 1036750/1037322/1037950 |  tx:  25 lat:   44 ms| bidding (0) | balance:100000  
2017-12-21 04:02:08 | Price: p:1037050/b:1036750/a:1037050 | Buy: 0/0 |  1Hr: delta: -24300 1033700/1044691/1061350 tx: 219 | 10Min: delta: -850 1036750/1037322/1037950 |  tx:  25 lat:   47 ms| bidding (0) | balance:100000  
2017-12-21 04:02:37 | Price: p:1037050/b:1036750/a:1037100 | Buy: 0/0 |  1Hr: delta: -20400 1033700/1044503/1057450 tx: 218 | 10Min: delta: -450 1036750/1037216/1037500 |  tx:  21 lat:   40 ms| bidding (0) | balance:100000  
2017-12-21 04:02:51 | Price: p:1037050/b:1036750/a:1037050 | Buy: 0/0 |  1Hr: delta: -20400 1033700/1044503/1057450 tx: 218 | 10Min: delta: -450 1036750/1037202/1037500 |  tx:  20 lat:   43 ms| bidding (0) | balance:100000  
2017-12-21 04:03:12 | Price: p:1037050/b:1036750/a:1037100 | Buy: 0/0 |  1Hr: delta: -20400 1033700/1044469/1057450 tx: 219 | 10Min: delta: -450 1036750/1037195/1037500 |  tx:  21 lat:   60 ms| bidding (0) | balance:100000  
2017-12-21 04:03:28 | Price: p:1037050/b:1036750/a:1037050 | Buy: 0/0 |  1Hr: delta: -20400 1033700/1044469/1057450 tx: 219 | 10Min: delta: -450 1036750/1037144/1037500 |  tx:  18 lat:   59 ms| bidding (0) | balance:100000  
2017-12-21 04:03:57 | Price: p:1037050/b:1036750/a:1037100 | Buy: 0/0 |  1Hr: delta: -20350 1033700/1044376/1057400 tx: 219 | 10Min: delta: -450 1036750/1037097/1037500 |  tx:  17 lat:   40 ms| bidding (0) | balance:100000  
