2017-12-22 10:39:54 | Price: p:1664/b:1659/a:1664/l:1694 | Buy: 0/0 |  1Hr: delta: -85 1623/1694/1765 tx: 2617 | 10Min: delta:  -3 1646/1658/1667 |  tx: 335 lat:  125 ms| bidding (0) | balance:101428  
2017-12-22 10:39:55 | Price: p:1664/b:1659/a:1664/l:1694 | Buy: 0/0 |  1Hr: delta: -85 1623/1694/1765 tx: 2617 | 10Min: delta:  -3 1646/1658/1667 |  tx: 336 lat:   65 ms| bidding (0) | balance:101428  
2017-12-22 10:39:58 | Price: p:1664/b:1659/a:1664/l:1694 | Buy: 0/0 |  1Hr: delta: -85 1623/1694/1765 tx: 2616 | 10Min: delta:  -3 1646/1658/1667 |  tx: 337 lat:   66 ms| bidding (0) | balance:101428  
2017-12-22 10:40:00 | Price: p:1664/b:1659/a:1660/l:1694 | Buy: 0/0 |  1Hr: delta: -89 1623/1694/1765 tx: 2616 | 10Min: delta:  -7 1646/1658/1667 |  tx: 337 lat:   65 ms| bidding (0) | balance:101428  
2017-12-22 10:40:03 | Price: p:1664/b:1653/a:1664/l:1694 | Buy: 0/0 |  1Hr: delta: -86 1623/1694/1765 tx: 2617 | 10Min: delta:  -3 1646/1658/1667 |  tx: 339 lat:   64 ms| bidding (0) | balance:101428  
2017-12-22 10:40:04 | Price: p:1664/b:1653/a:1664/l:1694 | Buy: 0/0 |  1Hr: delta: -86 1623/1694/1765 tx: 2617 | 10Min: delta:  -3 1646/1658/1667 |  tx: 339 lat:   64 ms| bidding (0) | balance:101428  
2017-12-22 10:40:06 | Price: p:1664/b:1653/a:1663/l:1694 | Buy: 0/0 |  1Hr: delta: -86 1623/1694/1765 tx: 2617 | 10Min: delta:  -4 1646/1658/1667 |  tx: 340 lat:   97 ms| bidding (0) | balance:101428  
2017-12-22 10:40:08 | Price: p:1663/b:1655/a:1663/l:1694 | Buy: 0/0 |  1Hr: delta: -86 1623/1694/1765 tx: 2617 | 10Min: delta:  -3 1646/1658/1667 |  tx: 339 lat:  137 ms| bidding (0) | balance:101428  
2017-12-22 10:40:09 | Price: p:1655/b:1655/a:1663/l:1694 | Buy: 0/0 |  1Hr: delta: -94 1623/1694/1765 tx: 2618 | 10Min: delta: -11 1646/1658/1667 |  tx: 340 lat:   66 ms| bidding (0) | balance:101428  
2017-12-22 10:40:13 | Price: p:1655/b:1659/a:1663/l:1694 | Buy: 0/0 |  1Hr: delta: -93 1623/1694/1765 tx: 2619 | 10Min: delta: -11 1646/1658/1667 |  tx: 342 lat:  166 ms| bidding (0) | balance:101428  
2017-12-22 10:40:16 | Price: p:1663/b:1659/a:1660/l:1694 | Buy: 0/0 |  1Hr: delta: -79 1623/1694/1765 tx: 2621 | 10Min: delta:  -3 1646/1658/1667 |  tx: 345 lat:  104 ms| bidding (0) | balance:101428  
